,Mean_1,Mean_2,SD_2,Obli_2,Kurt_2,ES1_2,ES2_2,simple_mean2,Mean_3,SD_3,Obli_3,Kurt_3,simple_mean3,flair
12,24.32099151611328,108.20472440944881,7.864340512446253,-8.371325194959061,160.35406145912737,1.4132328289098057,111.0,0.4980392156862745,12.551181102362206,8.274530375538292,7.542012232518332,126.8440111863082,5.08,37
13,44.84105682373047,147.68421052631578,11.804188811584568,9.464123754927682,381.30236375627567,1.5386105994918202,139.0,0.4470588235294118,12.894736842105264,8.630188163520275,6.217256279755665,121.875566803812,4.56,27
14,33.41231918334961,161.93037974683546,24.142015764476835,-57.76788605119985,1426.2746044377182,1.8069734325204276,168.0,0.6196078431372549,13.10759493670886,7.995715184039397,5.274615699073699,117.71867917986374,6.32,16
15,35.786983489990234,160.9208316673331,24.318034113694118,-13.252294311292802,1355.3918397696355,1.9669647840500621,171.0,9.807843137254903,13.143942423030786,7.197398923956858,6.7002484591469,113.61794679854786,100.04,30
16,65.9161376953125,152.99648980007123,79.77680327280702,-255.43459527431438,12942.76568461999,2.163846619108844,254.0,77.08627450980393,17.150226382459174,7.3900114679542135,-9.30142967504283,109.76484723305416,786.28,16
17,29.81338882446289,138.8487804878049,17.021981799028236,-26.829921038588896,812.6346289475326,1.7221131848824112,145.0,0.803921568627451,12.053658536585367,7.586383744738143,9.037717139667267,128.31480624576344,8.2,28
18,64.08070373535156,239.02447552447555,20.07792761149611,-111.4128723360545,1618.3515769554083,1.273785718496622,254.0,5.607843137254902,15.844055944055944,6.754859658339562,0.036631774114908144,95.37189293048101,57.2,14
19,48.330247528698976,217.98492935635795,38.67461686321149,-344.18786642142203,9135.71318711009,1.762892401960845,254.0,12.490196078431373,14.58712715855573,5.762545448960435,5.946905364588443,87.18635384117488,127.4,17
20,56.00274035395408,245.68128654970764,14.866291026046332,-83.02201790640204,858.789177063578,0.8912206901193036,254.0,1.3411764705882352,13.994152046783626,5.073722091317449,12.611430133427184,76.47707439350023,13.68,21
21,26.90154266357422,69.54306220095694,18.748634711401937,52.07804453069385,765.6540367408954,1.7231215573261305,60.0,1.6392156862745098,14.511961722488039,8.677149250655543,-1.5926460977376025,118.22330688037222,16.72,28
22,52.66969268176021,224.29296424452136,37.753259933669995,-268.8511595043926,5640.783266415936,1.4623669940170603,254.0,6.8,15.608996539792388,5.446335638583798,6.65722857119024,70.70379763101238,69.36,13
23,41.959388732910156,156.76023391812862,15.850760416877025,-10.053092379140518,572.1650340760891,1.6778009881437712,148.0,0.6705882352941176,11.719298245614034,6.520559619630421,13.868304263795533,134.25075790601983,6.84,31
24,29.04840087890625,114.1422261484099,14.142513583186819,5.451369961352659,696.8691055293872,1.717958356323336,120.0,4.43921568627451,13.888692579505301,7.6336140166347555,3.1914844742337354,114.58556383180041,45.28,29
25,37.656978607177734,164.31814580031696,22.707831549437586,-59.37494546703294,1746.8219483004627,1.9229756855520144,179.0,9.898039215686275,14.141442155309033,8.108332108653013,0.6253546774096471,115.58973792348039,100.96,21
27,57.60358428955078,239.47619047619048,21.406184661180312,-164.4037441718106,2865.3055290501543,1.1844902078355577,254.0,2.223529411764706,14.760141093474427,7.061505950859605,4.475006435708483,95.287283639831,22.68,16
